workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
oltp,125000,100,10,3210.85,11291.42,215.64,798.89
oltp,125000,100,20,2376.80,8312.01,231.15,594.50
oltp,125000,100,30,1614.70,5641.00,301.53,400.60
oltp,125000,100,40,2955.60,10414.11,233.17,744.80
oltp,125000,100,50,1523.00,5302.09,1990.64,379.30
oltp,125000,100,60,3059.20,10720.91,218.89,766.10
oltp,125000,100,70,1666.60,5805.29,239.75,414.10
oltp,125000,100,80,2561.90,8996.31,211.11,643.30
oltp,125000,100,90,2522.00,8813.20,239.82,628.10
oltp,125000,100,100,1668.90,5874.50,215.26,419.00
oltp,125000,100,110,2926.20,10238.59,234.78,732.00
oltp,125000,100,120,1874.50,6477.60,278.29,459.40
oltp,125000,100,130,2215.70,7800.40,223.40,559.10
oltp,125000,100,140,2950.60,10349.90,303.71,740.10
oltp,125000,100,150,1632.50,5706.21,238.96,405.70
oltp,125000,100,160,2785.60,9790.19,217.65,700.20
oltp,125000,100,170,1907.90,6646.40,248.44,474.40
oltp,125000,100,180,1843.60,6465.20,249.11,462.10
oltp,125000,100,190,3007.60,10530.91,232.33,752.00
oltp,125000,100,200,1781.70,6214.30,284.61,442.70
oltp,125000,100,210,2246.98,7875.33,234.28,563.40
oltp,125000,100,220,2741.32,9609.28,229.01,687.01
oltp,125000,100,230,569.70,2011.20,4659.36,142.30
oltp,125000,100,240,59.20,217.70,12735.06,14.90
oltp,125000,100,250,2164.41,7559.03,227.17,541.20
oltp,125000,100,260,1033.90,3597.49,1619.17,255.00
oltp,125000,100,270,3124.70,10956.29,213.52,784.30
oltp,125000,100,280,2269.90,7938.90,521.32,565.60
oltp,125000,100,290,2775.50,9737.50,338.87,694.80
oltp,125000,100,300,2539.50,8925.31,169.52,635.30
oltp,125000,100,310,3004.59,10439.48,229.29,747.00
oltp,125000,100,320,2036.50,7155.10,438.50,511.50
oltp,125000,100,330,3139.70,10997.90,217.78,784.10
oltp,125000,100,340,1713.50,5970.20,268.23,425.40
oltp,125000,100,350,3183.90,11159.80,221.20,798.80
oltp,125000,100,360,1769.50,6225.90,281.81,444.20
oltp,125000,100,370,2643.60,9257.50,234.42,658.60
oltp,125000,100,380,2238.80,7834.40,232.68,559.70
oltp,125000,100,390,2418.20,8484.40,188.58,606.40
oltp,125000,100,400,2476.20,8704.51,218.30,619.20
oltp,125000,100,410,2139.00,7439.89,204.64,532.30
oltp,125000,100,420,2016.90,7075.00,238.10,505.50
oltp,125000,100,430,1821.10,6377.40,275.22,455.50
oltp,125000,100,440,2438.50,8551.50,235.62,610.40
oltp,125000,100,450,2708.30,9466.39,230.18,676.00
oltp,125000,100,460,1516.20,5242.20,2442.95,371.00
oltp,125000,100,470,2852.90,10092.11,207.72,721.90
oltp,125000,100,480,1483.00,5149.20,3221.33,368.30
oltp,125000,100,490,2459.10,8638.60,218.63,616.60
oltp,125000,100,500,1618.90,5653.70,275.22,403.30
oltp,125000,100,510,2397.10,8413.61,273.58,600.80
oltp,125000,100,520,2630.00,9192.69,223.06,657.00
oltp,125000,100,530,2004.40,6995.70,821.45,497.30
oltp,125000,100,540,2245.40,7863.70,222.13,560.90
oltp,125000,100,550,2352.10,8267.41,209.47,592.40
oltp,125000,100,560,2337.10,8200.01,635.01,583.50
oltp,125000,100,570,2082.30,7289.59,233.23,521.00
oltp,125000,100,580,1696.80,5913.40,693.84,422.80
oltp,125000,100,590,3061.30,10733.20,281.64,766.30
oltp,125000,100,600,1506.91,5292.54,494.42,376.50
oltp,125000,100,610,2536.68,8808.74,236.26,625.20
oltp,125000,100,620,1895.50,6719.99,215.96,482.70
oltp,125000,100,630,2699.20,9418.22,227.38,673.20
oltp,125000,100,640,1645.30,5744.20,399.52,407.50
oltp,125000,100,650,2694.20,9475.81,208.72,678.60
oltp,125000,100,660,2204.60,7682.29,229.63,549.10
oltp,125000,100,670,1206.30,4267.41,597.03,303.90
oltp,125000,100,680,2500.80,8728.39,218.44,624.30
oltp,125000,100,690,2101.70,7347.90,248.74,523.00
oltp,125000,100,700,2801.40,9825.20,374.95,702.70
oltp,125000,100,710,1532.40,5327.00,2421.83,377.00
oltp,125000,100,720,2283.00,8054.92,217.85,577.30
oltp,125000,100,730,2182.10,7602.69,223.46,543.60
oltp,125000,100,740,1874.30,6577.70,231.70,470.50
oltp,125000,100,750,2300.41,8037.42,210.35,573.40
oltp,125000,100,760,1910.50,6732.18,227.85,479.50
oltp,125000,100,770,2286.10,7929.90,236.33,566.70
oltp,125000,100,780,2286.00,8021.40,231.22,573.60
oltp,125000,100,790,1942.60,6818.00,232.19,486.80
oltp,125000,100,800,1767.60,6187.40,228.67,439.50
oltp,125000,100,810,3139.50,10991.90,227.85,784.70
oltp,125000,100,820,1190.70,4190.60,259.70,301.30
oltp,125000,100,830,2944.80,10284.80,224.74,733.20
oltp,125000,100,840,1582.20,5539.20,2178.98,394.40
oltp,125000,100,850,2538.00,8913.80,374.50,638.00
oltp,125000,100,860,1723.10,6006.60,492.35,427.80
oltp,125000,100,870,2065.30,7246.50,208.91,519.50
oltp,125000,100,880,2234.40,7829.31,345.12,558.10
oltp,125000,100,890,1608.70,5614.79,355.82,400.50
oltp,125000,100,900,1748.90,6139.91,594.18,439.10
oltp,125000,100,910,2455.59,8580.08,223.73,611.00
oltp,125000,100,920,2047.90,7186.40,277.12,514.60
oltp,125000,100,930,1431.09,5003.78,83.44,356.70
oltp,125000,100,940,2581.30,9028.00,227.31,644.30
oltp,125000,100,950,1480.41,5194.62,220.14,371.30
oltp,125000,100,960,3079.30,10789.09,252.26,770.70
oltp,125000,100,970,1374.10,4820.30,986.89,343.30
oltp,125000,100,980,920.70,3213.70,617.20,230.10
oltp,125000,100,990,1634.80,5704.69,921.79,406.80
oltp,125000,100,1000,2246.50,7900.50,224.80,563.20
oltp,125000,100,1010,1434.50,4991.50,4179.61,355.70
oltp,125000,100,1020,2388.10,8367.11,223.80,600.40
oltp,125000,100,1030,408.30,1367.50,7912.23,93.90
oltp,125000,100,1040,2852.20,10051.90,238.53,721.10
oltp,125000,100,1050,296.40,1046.10,1433.45,73.60
